company_id,type,rule_id,text,confidence_pct
ADANIPOWER,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ADANIPOWER,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIPOWER,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIPOWER,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIPOWER,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ADANIPOWER,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
AMBUJACEM,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
AMBUJACEM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
AMBUJACEM,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80
AMBUJACEM,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
APOLLOHOSP,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
APOLLOHOSP,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
APOLLOHOSP,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
APOLLOHOSP,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
APOLLOHOSP,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
ASIANPAINT,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ASIANPAINT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ASIANPAINT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ASIANPAINT,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
ASIANPAINT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
ASIANPAINT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ASIANPAINT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ATGL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ATGL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ATGL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ATGL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
ATGL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ATGL,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
AXISBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
AXISBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
AXISBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
BAJAJ-AUTO,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJ-AUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
BAJAJ-AUTO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJAJ-AUTO,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
BAJAJ-AUTO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJAJ-AUTO,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BAJAJFINSV,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJFINSV,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJAJFINSV,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJAJFINSV,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BAJAJFINSV,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BAJAJFINSV,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJAJFINSV,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85
BAJAJFINSV,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BAJAJHLDNG,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJAJHLDNG,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJAJHLDNG,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJAJHLDNG,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
BAJAJHLDNG,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BAJAJHLDNG,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BAJAJHLDNG,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
BAJFINANCE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJFINANCE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJFINANCE,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BAJFINANCE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJFINANCE,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BAJFINANCE,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85
BAJFINANCE,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
BAJFINANCE,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
BANKBARODA,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BANKBARODA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BANKBARODA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BANKBARODA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BANKBARODA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BANKBARODA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BANKBARODA,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
BANKBARODA,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
BEL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BEL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BEL,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
BHARTIARTL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BHARTIARTL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BHARTIARTL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BHARTIARTL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BHARTIARTL,con,CON-01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,80
BHEL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BHEL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
BHEL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
BHEL,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
BHEL,pro,PRO-FALLBACK,Company maintains a stable operating profile without major red flags in the reviewed metrics,61
BOSCHLTD,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
BOSCHLTD,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BOSCHLTD,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
BOSCHLTD,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BOSCHLTD,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BOSCHLTD,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
BOSCHLTD,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
BPCL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
BPCL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BPCL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BPCL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BPCL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80
BRITANNIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BRITANNIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BRITANNIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BRITANNIA,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
CANBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
CANBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
CANBK,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
CANBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
CANBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
CANBK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CANBK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
CANBK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
CHOLAFIN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
CHOLAFIN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
CHOLAFIN,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
CHOLAFIN,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
CHOLAFIN,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
CHOLAFIN,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CHOLAFIN,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,85
CHOLAFIN,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
CHOLAFIN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
CHOLAFIN,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
CIPLA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
CIPLA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
CIPLA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
CIPLA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
CIPLA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
CIPLA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CIPLA,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
CIPLA,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
COALINDIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
COALINDIA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COALINDIA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
COALINDIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
COALINDIA,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
COALINDIA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
COALINDIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
COALINDIA,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
DABUR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DABUR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DABUR,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
DABUR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
DIVISLAB,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
DIVISLAB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DIVISLAB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
DIVISLAB,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
DIVISLAB,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80
DLF,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DLF,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
DLF,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
DLF,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
DLF,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
DLF,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
DMART,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
DMART,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
DMART,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DMART,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
DMART,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DMART,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
DMART,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
DRREDDY,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DRREDDY,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
DRREDDY,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
DRREDDY,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DRREDDY,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
DRREDDY,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
DRREDDY,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DRREDDY,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
EICHERMOT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
EICHERMOT,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
EICHERMOT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
EICHERMOT,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
EICHERMOT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
EICHERMOT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
EICHERMOT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
GAIL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
GAIL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80
GAIL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
GODREJCP,con,CON-04,Company reported a net loss in the most recent financial year,95
GODREJCP,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
GODREJCP,pro,PRO-FALLBACK,Company maintains a stable operating profile without major red flags in the reviewed metrics,61
GRASIM,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
GRASIM,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
GRASIM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
GRASIM,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
GRASIM,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80
HAL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HAL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
HAL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HAL,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
HAL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
HAL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HAL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
HAVELLS,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HAVELLS,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
HAVELLS,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
HCLTECH,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
HCLTECH,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
HCLTECH,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HCLTECH,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HCLTECH,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
HDFCBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
HDFCBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
HDFCBANK,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
HDFCBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
HDFCBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HDFCBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90
HDFCBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
HDFCBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
HDFCLIFE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
HDFCLIFE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HDFCLIFE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HDFCLIFE,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HDFCLIFE,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
HEROMOTOCO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
HEROMOTOCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HEROMOTOCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HEROMOTOCO,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HEROMOTOCO,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
HINDALCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HINDALCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HINDALCO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HINDALCO,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
HINDALCO,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80
HINDUNILVR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
HINDUNILVR,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
HINDUNILVR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HINDUNILVR,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
HINDUNILVR,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HINDUNILVR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
ICICIBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ICICIBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
ICICIBANK,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
ICICIBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
ICICIBANK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ICICIBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ICICIBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90
ICICIBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
ICICIBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,80
ICICIGI,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
ICICIGI,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ICICIGI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ICICIGI,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
ICICIGI,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ICICIGI,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
ICICIPRULI,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ICICIPRULI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ICICIPRULI,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,75
ICICIPRULI,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
INDIGO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
INDIGO,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
INDIGO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
INDIGO,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
INDIGO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
INDIGO,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80
INDIGO,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
INDIGO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
INDIGO,con,CON-FALLBACK,"As a well-regarded company, valuation may already reflect much of the known positive outlook, limiting further re-rating upside",61
INDUSINDBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
INDUSINDBK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
INDUSINDBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85
INDUSINDBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
INDUSINDBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
INDUSINDBK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
